;
"TH","Interim Prime Minister Gen. PRAYUT Chan-ocha (since 25 August 2014); Deputy Prime Ministers PRAWIT Wongsuwan, Gen. (since 31 August 2014), WISSANU Kruea-ngam (since 31 August 2014), SOMKHIT Chatusiphithak (since 20 August 2015), PRACHIN Chantong, Air Chief Mar. (since 20 August 2015), CHATCHAI Sarikan, Gen. (since 23 November 2017)"
"TL","Prime Minister Taur Matan RUAK (since 22 June 2018); note - President GUTERRES dissolved parliament because of an impasse over passing the country's budget on 26 January 2018, with then Prime Minister Mari ALKATIRI assuming the role of caretaker prime minister until a new prime minister was appointed"
"TG","Prime Minister Komi KLASSOU (since 5 June 2015)"
"TK","Afega GAULOFA (since 10 March 2016); note - position rotates annually among the three Faipule (village leaders)"
"TO","Interim Prime Minister 'Akilisi POHIVA (since 30 December 2014); note - King TUPOU VI dissolved the parliament on 26 August 2017"
"TT","Prime Minister Keith ROWLEY (since 9 September 2015)"
"TN","Prime Minister Youssef CHAHED (since 27 August 2016)"
"TR","President Recep Tayyip ERDOGAN (since 10 August 2014); note - a 2017 constitutional referendum eliminated the post of prime minister after the 2018 general election"
"TM","President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007)"
"TC","Premier Sharlene CARTWRIGHT-ROBINSON (since 20 December 2016); first female Premier of Turks and Caicos"
"TV","Prime Minister Enele SOPOAGA (since 5 August 2013)"
"UG","President Yoweri Kaguta MUSEVENI (since seizing power on 26 January 1986); Vice President Edward SSEKANDI (since 24 May 2011); Prime Minister Ruhakana RUGUNDA (since 19 September 2014); First Deputy Prime Minister Moses ALI (since 6 June 2016); Second Deputy Prime Minister Kirunda KIVEJINJA (since 6 June 2016)"
"UA","Prime Minister Volodymyr HROYSMAN (since 14 April 2016); First Deputy Prime Minister Stepan KUBIV (since 14 April 2016)"
"AE","Prime Minister Vice President MUHAMMAD BIN RASHID Al-Maktum (since 5 January 2006); Deputy Prime Ministers SAIF bin Zayid Al-Nuhayyan, MANSUR bin Zayid Al-Nuhayyan (both since 11 May 2009)"
"GB","Prime Minister Theresa MAY (Conservative) (since 13 July 2016)"
"US","President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"UY","President Tabare VAZQUEZ (since 1 March 2015); Vice President Lucia TOPOLANSKY (since 13 September 2017)"
"UZ","Prime Minister Abdulla ARIPOV (since 14 December 2016); First Deputy Prime Minister Achilbay RAMATOV (since 15 December 2016)"
"VU","Prime Minister Charlot SALWAI (since 11 February 2016)"
"VE","President Nicolas MADURO Moros (since 19 April 2013); Executive Vice President Delcy RODRIGUEZ Gomez (since 14 June 2018)"
"VN","Prime Minister Nguyen Xuan PHUC (since 7 April 2016); Deputy Prime Ministers Truong Hoa BINH (since 9 April 2016), Vuong Dinh HUE (since 9 April 2016), Vu Duc DAM (since 13 November 2013), Trinh Dinh DUNG (since 9 April 2016), Pham Binh MINH (since 13 November 2013)"
"VI","Governor Kenneth MAPP (since 5 January 2015), Lieutenant Governor Osbert POTTER (since 5 January 2015)"
"WF","President of the Territorial Assembly David VERGE (since 4 April 2017)"
"EH","99999999999998"
"YE","Prime Minister Ahmad Obaid bin DAGHIR (since 3 April 2016)"
"ZM","President Edgar LUNGU (since 25 January 2015); Vice President Inonge WINA (since 26 January 2015)"
"ZW","President Emmerson Dambudzo MNANGAGWA (since 24 November 2017); First Vice President Constantino CHIWENGA (since 28 December 2017)"
